"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"6122","PEKERJA PETERNAKAN UNGGAS","810","21"
"6123","PEKERJA PETERNAKAN LEBAH DAN ULAT SUTRA","811","21"
"6129","PEKERJA PETERNAKAN YTDL","812","21"
"613","PEKERJA CAMPURAN PERTANIAN DAN PETERNAKAN","814","21"
"6130","PEKERJA CAMPURAN PERTANIAN DAN PETERNAKAN","815","21"
"62","PEKERJA TERAMPIL KEHUTANAN, PERIKANAN, DAN PERBURUAN BERORIENTASI PASAR","816","21"
"621","PEKERJA KEHUTANAN DAN YBDI","817","21"
"6210","PEKERJA KEHUTANAN DAN YBDI","817","21"
"622","PEKERJA PERIKANAN, PERBURUAN, DAN PENANGKAPAN SATWA LIAR","820","21"
"6221","PEKERJA BUDIDAYA PERIKANAN","821","21"
"6222","PEKERJA PERIKANAN TANGKAP DI PERAIRAN UMUM DAN PESISIR","824","21"
"6223","PEKERJA PERIKANAN TANGKAP DI LAUT DALAM","825","21"
"6224","PEMBURU DAN PENANGKAPAN SATWA LIAR","827","21"
"63","PETANI, NELAYAN, PEMBURU, DAN PENGUMPUL SUBSISTEN","828","21"
"631","PETANI SUBSISTEN","828","21"
"6310","PETANI SUBSISTEN","829","21"
"632","PETERNAK SUBSISTEN","830","21"
"6320","PETERNAK SUBSISTEN","830","21"
"633","PETANI DAN PETERNAK (CAMPURAN) SUBSISTEN","831","21"
"6330","PETANI DAN PETERNAK (CAMPURAN) SUBSISTEN","832","21"
"634","NELAYAN, PEMBURU, PENANGKAP, DAN PENGUMPUL SUBSISTEN","833","21"
"6340","NELAYAN, PEMBURU, PENANGKAP, DAN PENGUMPUL SUBSISTEN","833","21"
"7","PEKERJA PENGOLAHAN, KERAJINAN, DAN YBDI","839","21"
"71","PEKERJA BANGUNAN DAN YBDI, SELAIN PEKERJA KELISTRIKAN","839","21"
"711","PEKERJA KERANGKA BANGUNAN DAN YBDI","840","21"
"7111","PEKERJA BANGUNAN RUMAH","841","21"
"7112","TUKANG TEMBOK DAN YBDI","841","22"
"7113","PEMBELAH, PEMOTONG, PEMECAH, DAN PEMAHAT BATU","842","22"
"7114","TUKANG BETON DAN YBDI","843","22"
"7115","TUKANG KAYU BANGUNAN","843","22"
"7119","PEKERJA KERANGKA BANGUNAN YTDL","845","22"
"712","PEKERJA PENYELESAIAN BANGUNAN DAN YBDI","846","22"
"7121","PEKERJA ATAP BANGUNAN","847","22"
"7122","PEKERJA LANTAI DAN UBIN","848","22"
"7123","PEKERJA PLESTER","849","22"
"7124","PEKERJA ISOLASI","850","22"
"7125","PEKERJA KACA","852","22"
"7126","PEKERJA PERPIPAAN","853","22"
"7127","MEKANIK PENDINGIN UDARA DAN LEMARI PENDINGIN","854","22"
"713","PEKERJA PENGECATAN, PEMBERSIH BANGUNAN, DAN YBDI","854","22"
"7131","PEKERJA PENGECATAN BANGUNAN DAN YBDI","855","22"
"7132","PEKERJA CAT SEMPROT DAN VERNIS","856","22"
"7133","PEMBERSIH BANGUNAN","857","22"
"72","PEKERJA LOGAM, PERMESINAN, DAN YBDI","857","22"
"721","PEKERJA PENCETAK STRUKTUR DAN LEMBARAN LOGAM, PELEBUR LOGAM, TUKANG LAS, DAN YBDI","858","22"
"7211","PELEBUR DAN PENCETAK INTI LOGAM","859","22"
"7212","PEKERJA PEMOTONGAN DAN PENGELASAN","859","22"
"7213","PEKERJA LOGAM LEMBARAN","861","22"
"7214","PEKERJA PENYIAPAN DAN PEMANCANGAN STRUKTUR LOGAM","862","22"
"7215","PEMASANG DAN PENYAMBUNG TALI KABEL","863","22"
"722","PANDAI BESI, PEMBUAT PERKAKAS, DAN YBDI","864","22"
"7221","PANDAI BESI, PEKERJA TEMPA, DAN PRESS LOGAM","864","22"
"7222","PEMBUAT PERKAKAS DAN YBDI","865","22"
"7223","OPERATOR DAN PENYETEL MESIN PENGERJAAN LOGAM","867","22"
"7224","PEMOLES LOGAM, PENGASAH, DAN PENAJAM PERKAKAS LOGAM","868","22"
"723","MEKANIK DAN TUKANG REPARASI MESIN","869","22"
"7231","MEKANIK DAN TUKANG REPARASI KENDARAAN BERMOTOR","870","22"
"7232","MEKANIK DAN TUKANG REPARASI MESIN PESAWAT","872","22"
"7233","MEKANIK DAN TUKANG REPARASI MESIN PERTANIAN DAN INDUSTRI","875","22"
"7234","TUKANG REPARASI SEPEDA DAN YBDI","876","22"
"73","PEKERJA KERAJINAN DAN PERCETAKAN","877","22"
"731","PEKERJA KERAJINAN","877","22"
"7311","PEMBUAT DAN TUKANG REPARASI PERALATAN PRESISI","878","22"
"7312","PEMBUAT DAN PENYETEM ALAT MUSIK","880","22"
"7313","PEKERJA PEMBUAT PERHIASAN DAN BARANG DARI LOGAM MULIA","882","22"
"7314","PEMBUAT TEMBIKAR DAN YBDI","883","22"
"7315","PEMBUAT, PEMOTONG, PENGASAH, DAN PENYELESAI KACA","885","22"
"7316","PEMBUAT PAPAN TANDA, PELUKIS DEKORATIF, PENGUKIR, DAN PENGETSA","886","22"
"7317","PEMBUAT KERAJINAN DARI KAYU, KERANJANG ANYAMAN, DAN DARI BAHAN YBDI","888","23"
"7318","PEMBUAT KERAJINAN DARI TEKSTIL, KULIT, DAN BAHAN YBDI","889","23"
"7319","PEMBUAT KERAJINAN YTDL","891","23"
"732","PEKERJA PERCETAKAN","892","23"
"7321","PEKERJA PRACETAK","892","23"
"7322","PEKERJA PENCETAKAN","894","23"
"7323","PEKERJA PENYELESAIAN DAN PENJILIDAN CETAKAN","895","23"
"74","PEKERJA KELISTRIKAN DAN ELEKTRONIK","897","23"
"741","PEKERJA INSTALASI DAN REPARASI PERALATAN LISTRIK","897","23"
"7411","PEKERJA KELISTRIKAN BANGUNAN DAN YBDI","898","23"
"7412","MEKANIK DAN PEMASANG PERALATAN LISTRIK","899","23"
"7413","PEKERJA INSTALASI DAN REPARASI JARINGAN LISTRIK","900","23"
"742","PEKERJA INSTALASI DAN REPARASI ELEKTRONIK DAN TELEKOMUNIKASI","901","23"
"7421","PEKERJA MEKANIK DAN SERVIS PERALATAN ELEKTRONIK","901","23"
"7422","PEKERJA INSTALASI DAN SERVIS PERALATAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","903","23"
"75","PEKERJA PENGOLAHAN MAKANAN, KAYU, GARMEN, DAN YBDI","904","23"
"751","PEKERJA PENGOLAHAN MAKANAN DAN YBDI","905","23"
"7511","PEMOTONG HEWAN, PENJUAL IKAN SEGAR, DAN PENGOLAH MAKANAN YBDI","905","23"
"7512","PEMBUAT ROTI, KUE, DAN KEMBANG GULA","907","23"
"7513","PEMBUAT PRODUK SUSU","908","23"
"7514","PENGAWET BUAH, SAYUR, DAN YBDI","909","23"
"7515","AHLI PENCICIP DAN PENILAI KUALITAS MAKANAN DAN MINUMAN","911","23"
"7516","PENGOLAH TEMBAKAU DAN PEMBUAT PRODUK TEMBAKAU","912","23"
"752","PEKERJA PENGOLAHAN KAYU, PEMBUAT FURNITUR, DAN YBDI","913","23"
"7521","PEKERJA PENGAWETAN KAYU","914","23"
"7522","PEMBUAT FURNITUR DAN YBDI","915","23"
"7523","PENYETEL DAN OPERATOR MESIN PERKAKAS PENGOLAHAN KAYU","916","23"
"753","PEKERJA GARMEN DAN YBDI","918","23"
"7531","PEMBUAT PAKAIAN, PAKAIAN DARI KULIT, DAN PENUTUP KEPALA","918","23"
"7532","PEMBUAT DAN PEMOTONG POLA GARMEN DAN YBDI","920","23"
"7533","TUKANG JAHIT, PENYULAM, DAN YBDI","921","23"
"7534","PELAPIS FURNITUR (UPHOLSTER) DAN YBDI","923","23"
"7535","PEMBERSIH KULIT, PENYAMAK KULIT, DAN PEWARNA KULIT","924","23"
"7536","PEMBUAT SEPATU DAN YBDI","925","23"
"754","PEKERJA PENGOLAHAN LAINNYA DAN YBDI","927","23"
"7541","PEKERJA BAWAH AIR","927","23"
"7542","JURU LEDAK DAN JURU TEMBAK","929","23"
"7543","PENGUJI DAN PENILAI KUALITAS PRODUK (SELAIN PRODUK MAKANAN DAN MINUMAN)","930","23"
"7544","PENGENDALI DAN PEMBASMI HAMA DAN GULMA","931","23"
"7549","PEKERJA PENGOLAHAN LAINNYA YTDL","932","23"
"8","OPERATOR DAN PERAKIT MESIN","937","24"
"81","OPERATOR MESIN STASIONER DAN YBDI","937","24"
"811","OPERATOR MESIN PENGOLAHAN BAHAN TAMBANG DAN MINERAL","938","24"
"8111","PEKERJA TAMBANG DAN PEKERJA PENGGALIAN","938","24"
"8112","OPERATOR MESIN PENGOLAHAN BIJIH MINERAL DAN BATU","942","24"
"8113","PEKERJA PENGEBORAN DAN PENGGALIAN SUMUR YBDI","944","24"
"8114","OPERATOR MESIN PENGOLAHAN SEMEN, BATU, DAN MINERAL LAINNYA","946","24"
"812","OPERATOR MESIN PENGOLAHAN LOGAM","949","24"
"8121","OPERATOR MESIN PENGOLAHAN LOGAM","949","24"
"8122","OPERATOR MESIN PENYELESAIAN, PENYEPUHAN, DAN PELAPISAN LOGAM","951","24"
"813","OPERATOR MESIN PENGOLAHAN BAHAN KIMIA DAN FOTOGRAFI","953","24"
"8131","OPERATOR MESIN PENGOLAHAN BAHAN KIMIA","954","24"
"8132","OPERATOR MESIN PENGOLAHAN PRODUK FOTOGRAFI","957","24"
"814","OPERATOR MESIN PENGOLAHAN KARET, PLASTIK, DAN KERTAS","958","24"
"8141","OPERATOR MESIN PENGOLAHAN KARET","959","24"
"8142","OPERATOR MESIN PENGOLAHAN PLASTIK","961","24"
"8143","OPERATOR MESIN PENGOLAHAN KERTAS","963","24"
"815","OPERATOR MESIN PENGOLAHAN TEKSTIL, KULIT, DAN BULU","965","24"
"8151","OPERATOR MESIN PENYIAPAN, PEMINTALAN, DAN PENGGULUNGAN SERAT","966","24"
"8152","OPERATOR MESIN TENUN DAN RAJUT","968","24"
"8153","OPERATOR MESIN JAHIT","969","24"
"8154","OPERATOR MESIN PEMUTIHAN, PENCELUPAN, DAN PEMBERSIHAN KAIN","971","24"
"8155","OPERATOR MESIN PENYIAPAN BULU DAN KULIT","972","24"
"8156","OPERATOR MESIN PEMBUAT SEPATU DAN YBDI","974","24"
"8157","OPERATOR MESIN PENATU","974","24"
"8159","OPERATOR MESIN PENGOLAHAN TEKSTIL, BULU, DAN KULIT YTDL","976","24"
"816","OPERATOR MESIN PENGOLAHAN MAKANAN DAN YBDI","977","24"
"8160","OPERATOR MESIN PENGOLAHAN MAKANAN DAN YBDI","978","24"
"817","OPERATOR MESIN PENGOLAHAN KAYU DAN PEMBUATAN KERTAS","981","24"
"8171","OPERATOR MESIN PENGOLAHAN BUBUR KERTAS DAN PEMBUATAN KERTAS","981","24"
"8172","OPERATOR MESIN PENGOLAHAN KAYU","983","24"
"818","OPERATOR MESIN STASIONER LAINNYA","985","24"
"8181","OPERATOR MESIN PENGOLAHAN KACA DAN KERAMIK","985","24"
"8182","OPERATOR MESIN UAP DAN KETEL UAP","988","24"
"8183","OPERATOR MESIN PENGISIAN BOTOL, PELABELAN, DAN PENGEMASAN","991","24"
"8189","OPERATOR MESIN STASIONER YTDL","992","24"
"82","PERAKIT","993","24"
"821","PERAKIT","993","24"
"8211","PERAKIT MESIN MEKANIK","994","25"
"8212","PERAKIT PERALATAN LISTRIK DAN ELEKTRONIK","996","25"
"8219","PERAKIT YTDL","998","25"
"83","PENGEMUDI DAN OPERATOR MESIN BERGERAK","1001","25"
"831","MASINIS MESIN LOKOMOTIF DAN YBDI","1002","25"
"8311","MASINIS MESIN LOKOMOTIF","1002","25"
"8312","OPERATOR REM, SINYAL, DAN LANGSIR KERETA API","1003","25"
"832","PENGEMUDI MOBIL, VAN, DAN SEPEDA MOTOR","1005","25"
"8321","PENGEMUDI SEPEDA MOTOR","1005","25"
"8322","PENGEMUDI MOBIL, TAKSI, DAN VAN","1007","25"
"833","PENGEMUDI TRUK BERAT DAN BUS","1008","25"
"8331","PENGEMUDI BUS DAN TREM","1008","25"
"8332","PENGEMUDI TRUK BERAT DAN TRUK KONTAINER","1009","25"
"834","OPERATOR MESIN BERGERAK","1011","25"
"8341","OPERATOR MESIN BERGERAK PERTANIAN DAN KEHUTANAN","1011","25"
"8342","OPERATOR MESIN PENGERUK TANAH DAN YBDI","1013","25"
"8343","OPERATOR MESIN DEREK/CRANE, PENGEREK/HOIST, DAN YBDI","1017","25"
"8344","OPERATOR FORKLIFT","1019","25"
"835","AWAK GELADAK KAPAL DAN YBDI","1020","25"
"8350","AWAK GELADAK KAPAL DAN YBDI","1020","25"
"9","PEKERJA KASAR","1025","25"
"91","TENAGA KEBERSIHAN DAN JURU BANTU","1025","25"
"911","TENAGA KEBERSIHAN DAN JURU BANTU RUMAH TANGGA, HOTEL, DAN KANTOR","1026","25"
"9111","TENAGA KEBERSIHAN DAN JURU BANTU RUMAH TANGGA","1026","25"
"9112","TENAGA KEBERSIHAN DAN JURU BANTU DI KANTOR, HOTEL, DAN TEMPAT LAINNYA","1027","25"
"912","TENAGA CUCI KENDARAAN, JENDELA, BINATU, DAN TENAGA KEBERSIHAN DENGAN TANGAN LAINNYA","1029","25"
"9121","TENAGA CUCI DAN SETRIKA DENGAN TANGAN","1030","25"
"9122","TENAGA CUCI KENDARAAN","1031","25"
"9123","TENAGA PEMBERSIH JENDELA","1032","25"
"9129","TENAGA KEBERSIHAN LAINNYA","1032","25"
"92","BURUH PERTANIAN, KEHUTANAN, DAN PERIKANAN","1034","25"
"921","BURUH PERTANIAN, KEHUTANAN, DAN PERIKANAN","1034","25"
"9211","BURUH PERTANIAN","1035","25"
"9212","BURUH PETERNAKAN","1038","25"
"9213","BURUH CAMPURAN PERTANIAN DAN PETERNAKAN","1039","25"
"9214","BURUH KEBUN BIBIT DAN TAMAN","1040","25"
"9215","BURUH KEHUTANAN","1041","25"
"9216","BURUH PENANGKAPAN DAN BUDIDAYA PERIKANAN","1042","25"
"93","BURUH PERTAMBANGAN, KONSTRUKSI, INDUSTRI PENGOLAHAN, DAN TRANSPORTASI","1043","25"
"931","BURUH PERTAMBANGAN DAN KONSTRUKSI","1044","26"
"9311","BURUH PERTAMBANGAN DAN PENGGALIAN","1044","26"
"9312","BURUH TEKNIK SIPIL","1045","26"
"9313","BURUH BANGUNAN","1046","26"
"932","BURUH INDUSTRI PENGOLAHAN","1048","26"
"9321","BURUH PENGEMASAN","1048","26"
"9329","BURUH INDUSTRI PENGOLAHAN YTDL","1050","26"
"933","BURUH TRANSPORTASI DAN PERGUDANGAN","1052","26"
"9331","PENGEMUDI BECAK DAN KENDARAAN BERPEDAL","1052","26"
"9332","PENGEMUDI KENDARAAN DAN PERALATAN YANG DITARIK HEWAN","1053","26"
"9333","PEKERJA PENANGANAN KARGO","1054","26"
"9334","BURUH PENATA BARANG","1056","26"
"94","ASISTEN PENYIAPAN MAKANAN","1056","26"
"941","ASISTEN PENYIAPAN MAKANAN","1057","26"
"9411","ASISTEN JURU MASAK","1057","26"
"9412","JURU BANTU DAPUR","1058","26"
"95","PEDAGANG DAN PEKERJA JASA JALANAN","1061","26"
"951","PEKERJA JASA JALANAN DAN YBDI","1062","26"
"9510","PEKERJA JASA JALANAN DAN YBDI","1062","26"
"952","PEDAGANG KELILING DAN ASONGAN (SELAIN MAKANAN)","1064","26"
"9520","PEDAGANG KELILING DAN ASONGAN (SELAIN MAKANAN)","1064","26"
"96","PEKERJA SAMPAH DAN PEKERJA KASAR LAINNYA","1065","26"
"961","PEKERJA SAMPAH","1066","26"
"9611","PENGANGKUT SAMPAH","1066","26"
"9612","PENYORTIR SAMPAH","1067","26"
"9613","TUKANG SAPU DAN YBDI","1069","26"
"962","PEKERJA KASAR LAINNYA","1069","26"
"9621","KURIR, PENGANTAR PAKET, DAN KULI ANGKUT BARANG","1070","26"
"9622","PEKERJA SERABUTAN","1071","26"
"9623","PEMBACA METERAN DAN PENGUMPUL MESIN VENDING","1072","26"
"9624","PENGUMPUL AIR DAN KAYU BAKAR","1073","26"
"9629","PEKERJA KASAR YTDL","1074","26"
