"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"2152","AHLI TEKNIK ELEKTRONIK","291","13"
"2153","AHLI TEKNIK TELEKOMUNIKASI","293","13"
"216","ARSITEK, PERENCANA, SURVEYOR, DAN DESAINER","295","13"
"2161","ARSITEK BANGUNAN","296","13"
"2162","ARSITEK PERTAMANAN/LANSKAP","297","13"
"2163","DESAINER PRODUK DAN PAKAIAN JADI","299","13"
"2164","PERENCANA TATA KOTA DAN LALU LINTAS","302","13"
"2165","AHLI PEMETAAN DAN SURVEYOR","304","13"
"2166","DESAINER GRAFIS DAN MULTIMEDIA","308","14"
"22","PROFESIONAL KESEHATAN","311","14"
"221","DOKTER MEDIS","312","14"
"2211","PRAKTISI DOKTER UMUM","313","14"
"2212","PRAKTISI DOKTER SPESIALIS","315","14"
"222","PROFESIONAL KEPERAWATAN DAN KEBIDANAN","323","14"
"2221","PROFESIONAL KEPERAWATAN","324","14"
"2222","PROFESIONAL KEBIDANAN","328","14"
"223","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","330","14"
"2230","PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","330","14"
"224","PRAKTISI PARAMEDIS","334","14"
"2240","PRAKTISI PARAMEDIS","334","14"
"225","DOKTER HEWAN","336","14"
"2250","DOKTER HEWAN","337","14"
"226","PROFESIONAL KESEHATAN LAINNYA","339","14"
"2261","DOKTER GIGI","340","14"
"2262","APOTEKER","344","14"
"2263","AHLI KESEHATAN DAN KEBERSIHAN LINGKUNGAN KERJA","345","14"
"2264","AHLI FISIOTERAPI","349","14"
"2265","AHLI DIET DAN GIZI","351","14"
"2266","AHLI TERAPI PENDENGARAN DAN TERAPI BICARA","353","14"
"2267","AHLI OPTOMETRIK DAN OPTIK OFTALMIK","355","14"
"2269","AHLI KESEHATAN YTDL","356","14"
"23","PROFESIONAL PENDIDIKAN","357","14"
"231","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","358","14"
"2310","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","359","14"
"232","PENGAJAR PENDIDIKAN KEJURUAN","363","14"
"2320","PENGAJAR PENDIDIKAN KEJURUAN","364","14"
"233","GURU PENDIDIKAN MENENGAH","366","14"
"2330","GURU PENDIDIKAN MENENGAH","366","14"
"234","GURU SEKOLAH DASAR DAN ANAK USIA DINI","368","14"
"2341","GURU SEKOLAH DASAR","368","14"
"2342","GURU ANAK USIA DINI","369","14"
"235","PROFESIONAL BIDANG PENDIDIKAN LAINNYA","371","14"
"2351","SPESIALIS METODE PENDIDIKAN","372","14"
"2352","GURU SISWA BERKEBUTUHAN KHUSUS","374","14"
"2353","GURU KURSUS BAHASA","375","14"
"2354","GURU KURSUS MUSIK","376","14"
"2355","GURU KURSUS SENI","378","14"
"2356","PENGAJAR TEKNOLOGI INFORMASI","380","14"
"2359","PROFESIONAL BIDANG PENDIDIKAN LAINNYA YTDL","381","14"
"24","PROFESIONAL BISNIS DAN ADMINISTRASI","383","14"
"241","PROFESIONAL KEUANGAN","383","14"
"2411","AKUNTAN","384","14"
"2412","KONSULTAN KEUANGAN DAN INVESTASI","387","15"
"2413","ANALIS KEUANGAN","388","15"
"242","PROFESIONAL ADMINISTRASI","389","15"
"2421","ANALIS MANAJEMEN DAN ORGANISASI","389","15"
"2422","PROFESIONAL KEBIJAKAN ADMINISTRASI","391","15"
"2423","PROFESIONAL PERSONALIA DAN KARIER","392","15"
"2424","PROFESIONAL PELATIHAN DAN PENGEMBANGAN STAF","395","15"
"243","PROFESIONAL PENJUALAN, PEMASARAN, DAN HUBUNGAN MASYARAKAT","397","15"
"2431","PROFESIONAL PERIKLANAN DAN PEMASARAN","397","15"
"2432","PROFESIONAL HUBUNGAN MASYARAKAT","399","15"
"2433","PROFESIONAL PENJUALAN PRODUK TEKNIK DAN MEDIS (SELAIN TIK)","400","15"
"2434","PROFESIONAL PENJUALAN PRODUK TEKNOLOGI INFORMASI DAN KOMUNIKASI","402","15"
"25","PROFESIONAL TEKNOLOGI INFORMASI DAN KOMUNIKASI","403","15"
"251","ANALIS DAN PENGEMBANG PERANGKAT LUNAK SERTA APLIKASI","404","15"
"2511","ANALIS SISTEM","404","15"
