"cakupan","jumlah_digit","tingkat","acuan_publikasi","rujukan"
"golongan pokok 5","4","Subgolongan","39","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 5, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 5","6","Jabatan","142","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 5, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 6","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 6","2","Subgolongan pokok","3","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 6","3","Golongan","9","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 6","4","Subgolongan","19","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 6","6","Jabatan","84","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 6, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 7","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 7, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 7","2","Subgolongan pokok","5","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 7, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 7","3","Golongan","14","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 7, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 7","4","Subgolongan","66","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 7, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 7","6","Jabatan","317","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 7, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 8","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 8, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 8","2","Subgolongan pokok","3","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 8, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 8","3","Golongan","14","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 8, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 8","4","Subgolongan","40","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 8, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 8","6","Jabatan","216","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 8, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 9","1","Golongan pokok","1","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 9, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 9","2","Subgolongan pokok","6","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 9, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 9","3","Golongan","11","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 9, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 9","4","Subgolongan","33","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 9, halaman cetak 61-65 / halaman PDF 93-97"
"golongan pokok 9","6","Jabatan","118","Tabel 25-34 Jumlah Kode berdasarkan Struktur KBJI Golongan Pokok 9, halaman cetak 61-65 / halaman PDF 93-97"
