"halaman_pdf","alasan","teks"
"241","margin_kepala_kaki","Manajer  |  209"
"241","teks_miring_watermark","https://www.bps.go.id"
"242","margin_kepala_kaki","210  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"242","teks_miring_watermark","https://www.bps.go.id"
"243","margin_kepala_kaki","Manajer  |  211"
"243","teks_miring_watermark","https://www.bps.go.id"
"244","margin_kepala_kaki","212  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"244","teks_miring_watermark","https://www.bps.go.id"
"245","margin_kepala_kaki","Manajer  |  213"
"245","teks_miring_watermark","https://www.bps.go.id"
"246","margin_kepala_kaki","214  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"246","teks_miring_watermark","https://www.bps.go.id"
"247","margin_kepala_kaki","Manajer  |  215"
"247","teks_miring_watermark","https://www.bps.go.id"
"248","margin_kepala_kaki","216  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"248","teks_miring_watermark","https://www.bps.go.id"
"249","margin_kepala_kaki","Manajer  |  217"
"249","teks_miring_watermark","https://www.bps.go.id"
"250","margin_kepala_kaki","218  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"250","teks_miring_watermark","https://www.bps.go.id"
"251","margin_kepala_kaki","Manajer  |  219"
"251","teks_miring_watermark","https://www.bps.go.id"
"252","margin_kepala_kaki","220  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"252","teks_miring_watermark","https://www.bps.go.id"
"253","margin_kepala_kaki","Manajer  |  221"
"253","teks_miring_watermark","https://www.bps.go.id"
"254","margin_kepala_kaki","222  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"254","teks_miring_watermark","https://www.bps.go.id"
"255","margin_kepala_kaki","Manajer  |  223"
"255","teks_miring_watermark","https://www.bps.go.id"
"256","margin_kepala_kaki","224  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"256","teks_miring_watermark","https://www.bps.go.id"
"257","margin_kepala_kaki","Manajer  |  225"
"257","teks_miring_watermark","https://www.bps.go.id"
"258","margin_kepala_kaki","226  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"258","teks_miring_watermark","https://www.bps.go.id"
"259","margin_kepala_kaki","Manajer  |  227"
"259","teks_miring_watermark","https://www.bps.go.id"
"260","teks_miring_watermark","https://www.bps.go.id"
"261","teks_miring_watermark","https://www.bps.go.id"
"262","teks_miring_watermark","https://www.bps.go.id"
