"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"2310","True","True","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","DOSEN UNIVERSITAS DAN PENDIDIKAN TINGGI","True","359","359","True"
"232","True","True","PENGAJAR PENDIDIKAN KEJURUAN","PENGAJAR PENDIDIKAN KEJURUAN","True","363","363","True"
"2320","True","True","PENGAJAR PENDIDIKAN KEJURUAN","PENGAJAR PENDIDIKAN KEJURUAN","True","364","364","True"
"233","True","True","GURU PENDIDIKAN MENENGAH","GURU PENDIDIKAN MENENGAH","True","366","366","True"
"2330","True","True","GURU PENDIDIKAN MENENGAH","GURU PENDIDIKAN MENENGAH","True","366","366","True"
"234","True","True","GURU SEKOLAH DASAR DAN ANAK USIA DINI","GURU SEKOLAH DASAR DAN ANAK USIA DINI","True","368","368","True"
"2341","True","True","GURU SEKOLAH DASAR","GURU SEKOLAH DASAR","True","368","368","True"
"2342","True","True","GURU ANAK USIA DINI","GURU ANAK USIA DINI","True","369","369","True"
"235","True","True","PROFESIONAL BIDANG PENDIDIKAN LAINNYA","PROFESIONAL BIDANG PENDIDIKAN LAINNYA","True","371","371","True"
"2351","True","True","SPESIALIS METODE PENDIDIKAN","SPESIALIS METODE PENDIDIKAN","True","372","372","True"
"2352","True","True","GURU SISWA BERKEBUTUHAN KHUSUS","GURU SISWA BERKEBUTUHAN KHUSUS","True","374","374","True"
"2353","True","True","GURU KURSUS BAHASA","GURU KURSUS BAHASA","True","375","375","True"
"2354","True","True","GURU KURSUS MUSIK","GURU KURSUS MUSIK","True","376","376","True"
"2355","True","True","GURU KURSUS SENI","GURU KURSUS SENI","True","378","378","True"
"2356","True","True","PENGAJAR TEKNOLOGI INFORMASI","PENGAJAR TEKNOLOGI INFORMASI","True","380","380","True"
"2359","True","True","PROFESIONAL BIDANG PENDIDIKAN LAINNYA YTDL","PROFESIONAL BIDANG PENDIDIKAN LAINNYA YTDL","True","381","381","True"
"24","True","True","PROFESIONAL BISNIS DAN ADMINISTRASI","PROFESIONAL BISNIS DAN ADMINISTRASI","True","383","383","True"
